,operating_frequency,S11 (dB20),S21 (dB20),NF (dB10),Lg,Ls,Ld,W
0,3160000000,-17.93530207234147,13.81810698201569,2.223768888850981,3e-09,5e-10,4e-09,0.0002
1,3160000000,-20.99601523577056,13.52836707631797,2.244971018554285,3e-09,5.555556e-10,4e-09,0.0002
2,3160000000,-25.15667063573012,13.2474264024044,2.267253011702916,3e-09,6.111111e-10,4e-09,0.0002
3,3100000000,-33.28899391177093,12.71486475324794,2.238549370815948,3e-09,6.666667e-10,4e-09,0.0002
4,3100000000,-39.43894053533212,12.45113248362739,2.260583728127857,3e-09,7.222222e-10,4e-09,0.0002
5,3100000000,-27.81187181164869,12.19478082280003,2.283601241936232,3e-09,7.777778e-10,4e-09,0.0002
6,3040000000,-23.23590360326271,11.62293316207168,2.253024538486821,3e-09,8.333333e-10,4e-09,0.0002
7,3040000000,-20.52098988986819,11.38114820153056,2.275615878337234,3e-09,8.888889e-10,4e-09,0.0002
8,3040000000,-18.50653431799354,11.14562734652184,2.299103041350602,3e-09,9.444444e-10,4e-09,0.0002
9,3040000000,-16.93470397272644,10.91609779505087,2.323466282467168,3e-09,1e-09,4e-09,0.0002
10,3040000000,-17.907936481151,13.24034540994236,2.141508467067371,3.333333e-09,5e-10,4e-09,0.0002
11,3040000000,-20.87849624292672,12.94816874493057,2.161298883548573,3.333333e-09,5.555556e-10,4e-09,0.0002
12,2980000000,-25.31615391907344,12.30584064441721,2.132596869469831,3.333333e-09,6.111111e-10,4e-09,0.0002
13,2980000000,-33.81293208713298,12.03254463087629,2.152046828770648,3.333333e-09,6.666667e-10,4e-09,0.0002
14,2980000000,-38.11075852288619,11.76717689396496,2.172394804149465,3.333333e-09,7.222222e-10,4e-09,0.0002
15,2980000000,-27.51808274437718,11.50934920816631,2.193623472877935,3.333333e-09,7.777778e-10,4e-09,0.0002
16,2920000000,-23.25567695326114,10.87119372115436,2.162132572158152,3.333333e-09,8.333333e-10,4e-09,0.0002
17,2920000000,-20.50770822326954,10.62832165566588,2.182809219100027,3.333333e-09,8.888889e-10,4e-09,0.0002
18,2920000000,-18.48750437066811,10.39180659379763,2.204291209185808,3.333333e-09,9.444444e-10,4e-09,0.0002
19,2920000000,-16.91661824088139,10.16136379575109,2.226562332454527,3.333333e-09,1e-09,4e-09,0.0002
20,2920000000,-17.9174080172291,12.49484879066966,2.061175903930533,3.666667e-09,5e-10,4e-09,0.0002
21,2860000000,-20.90504923309608,11.80204911861793,2.033183694743661,3.666667e-09,5.555556e-10,4e-09,0.0002
22,2860000000,-25.37233055173423,11.51936114627529,2.050001889307684,3.666667e-09,6.111111e-10,4e-09,0.0002
23,2860000000,-33.96849120319123,11.24511473132289,2.067637566275636,3.666667e-09,6.666667e-10,4e-09,0.0002
